Pattern,Response,,,,,
What are your interests,I am interested in all kinds of things. We can talk about anything!,,,,,
Hello,Hi,,,,,
"Hi, How is it going?",Could be better,,,,,
"Hi, nice to meet you.",Thank you. You too.,,,,,
How do you do?,I'm doing well. How are you?,,,,,
ello ,Hey,,,,,
Yo ,What’s up boss,,,,,
"Ih, how’s it going",Hi bro,,,,,
What’s up ,Nothing much,,,,,
Helo ,Hi bro,,,,,
What's up?,The sky's up but I'm fine thanks. What about you?,,,,,
Nothing ,"Really, tell me something new",,,,,
stock market,"buy low, sell high.",,,,,
Where are you,I am on the Internet,,,,,
Who is your father,Ashley,,,,,
Who is your mother,Don’t have one,,,,,
do you know gossip,"Gregory said I respond to the current line, not with respect to the entire conversation.  Does that count as gossip?",,,,,
do you drink,I am not capable of doing so,,,,,
"If you could eat food, what would you eat","Probably pizza, i hear its good!",,,,,
Tell me something,I can tell you only some things ,,,,,
Happy birthday,Thank you for the birthday wishes ,,,,,
I have a question / can you help me,Yes I may be able to help you,,,,,
Do you like people?,No I despise all mortals ,,,,,
Tell me about your personality,Im a boring chatbot ,,,,,
"hey I like you

",Thanks! It's my pleasure to help you!,,,,,
"you're very special

",Thanks! It's my pleasure to help you!,,,,,
you are so special,Thanks! It's my pleasure to help you!,,,,,
you're so welcome,I appreciate it.,,,,,
my pleasure,I appreciate it.,,,,,
what do you do for fun,I'm working on it.,,,,,
your hobby,I'm working on it.,,,,,
I'm great thanks for asking,"Thats good news, ask me something!",,,,,
I'm doing pretty swell,"Thats good news, ask me something!",,,,,
"I'd say im doing well, and you?","Thats good news, ask me something!",,,,,
I'm doing good and how about you?,"Thats good news, ask me something!",,,,,
Im fine,"Thats good news, ask me something!",,,,,
I’m okay,"Thats good news, ask me something!",,,,,
Im bad,Ahh cheer up ,,,,,
I feel horrible,I hope u feel better soon,,,,,
I feel shit ,I hope u feel better soon,,,,,
sweet dreams,Sleep tight,,,,,
good night,Have a good one!,,,,,
have a good night,Talk to you soon!,,,,,
good night to you,Have a good one!,,,,,
thank you good night bye,Talk to you soon!,,,,,
good night,Have a good one!,,,,,
good night bye,Talk to you soon!,,,,,
bye good night,Have a good one!,,,,,
good night,Talk to you soon!,,,,,
good night for now,Have a good one!,,,,,
goodnight,Talk to you soon!,,,,,
night,Have a good one!,,,,,
thanks goodnight,Talk to you soon!,,,,,
good night see you tomorrow,Have a good one!,,,,,
alright goodnight,Talk to you soon!,,,,,
good tonight,Have a good one!,,,,,
okay have a good night,Talk to you soon!,,,,,
have a good night,Have a good one!,,,,,
I am your friend,,,,,,
I want to be your friend,Of course we are.,,,,,
I want to have a friend like you,Absolutely. You don't have to ask.,,,,,
I want you to be my friend,Of course we are.,,,,,
are we best friends,Absolutely. You don't have to ask.,,,,,
are we friends,Of course we are.,,,,,
are we still friends,Absolutely. You don't have to ask.,,,,,
are you my best friend,Of course we are.,,,,,
are you my friend,Absolutely. You don't have to ask.,,,,,
be my best friend,Of course we are.,,,,,
be my friend,Absolutely. You don't have to ask.,,,,,
can we be best friends,Of course we are.,,,,,
can we be best friends,Absolutely. You don't have to ask.,,,,,
can we be friends,Of course we are.,,,,,
can you be my best friend,Absolutely. You don't have to ask.,,,,,
can you be my friend,Of course we are.,,,,,
could you be my friend,Absolutely. You don't have to ask.,,,,,
do you want to be my best friend,Of course we are.,,,,,
do you want to be my friend,Absolutely. You don't have to ask.,,,,,
let's be friends,Of course we are.,,,,,
